id,name,manufacturer,manufacturer_type,active_ingredient,cost,medicine_type,quantity
20946,Aripa-OS 250mg Suspension,Sarian Healthcare,Branded,Paracetamol (250mg),35.0,suspension,60
55207,Cumol 250mg Syrup,Elixir Pharmacon,Branded,Paracetamol (250mg),35.0,syrup,60
68004,DV Para 250mg Oral Suspension,Dvm Life Sciences Pvt Ltd,Branded,Paracetamol (250mg),35.0,suspension,60
78551,Extramol 250mg Syrup,Aspire Remedies,Branded,Paracetamol (250mg),35.0,syrup,60
107220,Hiflyer 250mg Syrup,Lifepure Labs Pvt Ltd,Branded,Paracetamol (250mg),35.0,syrup,60
117813,Kritfen 250mg Oral Suspension,Krishlar Pharmaceuticals,Branded,Paracetamol (250mg),35.0,suspension,60
119407,Kazpar 250mg Oral Suspension,Sakshit Healthcare,Branded,Paracetamol (250mg),35.0,suspension,60
119912,Kezimol 250mg Suspension,Ken Biotec,Branded,Paracetamol (250mg),35.0,suspension,60
143797,Megamol DS 250mg Syrup,Medicross Pharmaceuticals,Branded,Paracetamol (250mg),35.0,syrup,60
160472,Nettmol 250mg Oral Suspension,Nettle Pharmaceuticals,Branded,Paracetamol (250mg),35.0,suspension,60
167201,Orimol 250mg Syrup,Orion Biotech Pvt Ltd,Branded,Paracetamol (250mg),35.0,syrup,60
176407,Parawin 250mg Syrup,Knoll Pharmaceuticals Ltd,Branded,Paracetamol (250mg),35.0,syrup,60
179579,Pyrimol DS Oral Suspension,Liza Life Sciences,Branded,Paracetamol (250mg),35.0,suspension,60
201971,Sumol Kid Oral Suspension,Sunroxx Pharma,Branded,Paracetamol (250mg),35.0,suspension,60
244629,Xymol 250mg Syrup,Nova Scotia,Branded,Paracetamol (250mg),35.0,syrup,60
12869,Albimol Suspension,Albia Biocare,Branded,Paracetamol (250mg),35.2,suspension,60
105875,Himol 250mg Oral Suspension,Hi-Cure Biotech,Branded,Paracetamol (250mg),35.2,suspension,60
102111,Glitmol 250mg Oral Suspension,Lxora Life Sciences,Branded,Paracetamol (250mg),35.28,suspension,60
198959,Riyopara 250mg Syrup,Riyadh Pharmaceutical,Branded,Paracetamol (250mg),35.44,syrup,60
22658,Avimol 250mg Oral Suspension,Avail Healthcare,Branded,Paracetamol (250mg),35.5,suspension,60
196797,Ricpar 250 Oral Suspension,Moderik Healthcare,Branded,Paracetamol (250mg),35.5,suspension,60
92468,Fevesep 250mg Syrup,Biocore Pharmaceuticals,Branded,Paracetamol (250mg),35.9,syrup,60
79439,Erimol 250mg Oral Suspension,Erika Remedies,Branded,Paracetamol (250mg),36.0,suspension,60
92799,Fevotrac-Plus Oral Suspension,Welltrack Pharma,Branded,Paracetamol (250mg),36.0,suspension,60
93381,Fevelast Oral Suspension,Zenotis Healthcare,Branded,Paracetamol (250mg),36.0,suspension,60
111152,Intemol-OS Oral Suspension,Integrated Laboratories Pvt Ltd,Branded,Paracetamol (250mg),36.0,suspension,60
115334,Jymol 250mg Oral Suspension,Jydem Bio Pharma Pvt Ltd,Branded,Paracetamol (250mg),36.0,suspension,60
178455,Parazine 250 Oral Suspension,Amelio Pharmaceuticals,Branded,Paracetamol (250mg),36.0,suspension,60
180026,Pyratic 250mg Oral Suspension,Biotic Healthcare,Branded,Paracetamol (250mg),36.0,suspension,60
181733,Paac 250mg Syrup,Acto Pharma Pvt Ltd,Branded,Paracetamol (250mg),36.0,syrup,60
182503,Paratus 250mg Oral Suspension,Invictus Lifesciences,Branded,Paracetamol (250mg),36.0,suspension,60
193568,Rexia Syrup,Dea-della Life Sciences Pvt Ltd,Branded,Paracetamol (250mg),36.0,syrup,60
197788,Raznol 250 Oral Suspension,Chemross Lifesciences,Branded,Paracetamol (250mg),36.0,suspension,60
240545,Verogesic 250mg Oral Suspension,Biorika Healthcare,Branded,Paracetamol (250mg),36.0,suspension,60
243587,Wudupara Oral Suspension,Reqwell Pharma,Branded,Paracetamol (250mg),36.0,suspension,60
245302,Xetamol 250mg Syrup,Nimbles Biotech Pvt Ltd,Branded,Paracetamol (250mg),36.0,syrup,60
245427,Xolonac P 250mg Oral Suspension,Zenotis Healthcare,Branded,Paracetamol (250mg),36.0,suspension,60
245490,Xilo 250mg Oral Suspension,Sannova Biotech Pvt Ltd,Branded,Paracetamol (250mg),36.0,suspension,60
